time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/value_loss,train/n_updates,train/explained_variance,train/std,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
98,15,1.6573833,313,30720,16.39305207133293,140,-0.006560921669006348,1.030002474784851,0.2,-41.961605477333066,0.298095703125,0.0003,0.034713358,9.351771354675293,-0.012575774933793582
97,16,1.5373647,335,32768,33.77995314598083,150,0.027094602584838867,1.0338760614395142,0.2,-42.052044200897214,0.305126953125,0.0003,0.031443298,9.199153900146484,-0.013153184426482768
97,17,0.90546787,357,34816,40.80856487751007,160,0.01476973295211792,1.0366575717926025,0.2,-42.14922103881836,0.245849609375,0.0003,0.023957517,23.917604446411133,-0.013170425454154611
97,18,-8.5140085,377,36864,65.9413756966591,170,0.026250064373016357,1.037603497505188,0.2,-42.20308117866516,0.25595703125,0.0003,0.029949458,35.44461441040039,-0.012053205381380393
98,19,3.539786,397,38912,24.44929803609848,180,-0.01310586929321289,1.0385514497756958,0.2,-42.22429494857788,0.289892578125,0.0003,0.032851197,14.789730072021484,-0.010634568470413797
98,20,-0.30791816,416,40960,20.445235455036162,190,-0.017747879028320312,1.04079008102417,0.2,-42.279106283187865,0.330224609375,0.0003,0.033082977,7.541254997253418,-0.022628421004628762
98,21,0.061555706,435,43008,45.74775650501251,200,0.013126373291015625,1.0426760911941528,0.2,-42.326159262657164,0.26650390625,0.0003,0.024493143,17.43834114074707,-0.009058180748252199
99,22,0.567857,454,45056,36.22233356237412,210,0.02740257978439331,1.0435394048690796,0.2,-42.362753653526305,0.245068359375,0.0003,0.027866615,19.484540939331055,-0.010197450406849384
99,23,3.1721814,474,47104,31.104862409830094,220,0.031513333320617676,1.046193242073059,0.2,-42.4014990568161,0.271435546875,0.0003,0.02938199,18.93795394897461,-0.007821655954467132
99,24,-0.36437958,494,49152,15.542154139280319,230,0.005605936050415039,1.049344778060913,0.2,-42.49942889213562,0.34287109375,0.0003,0.035133608,6.93214225769043,-0.010000691056484356
99,25,0.9165007,512,51200,37.562268781661984,240,0.005404293537139893,1.0527969598770142,0.2,-42.58249297142029,0.279345703125,0.0003,0.035252906,26.609968185424805,-0.010383157333126291
100,26,-3.0026286,530,53248,26.779137367010115,250,0.014007806777954102,1.0553613901138306,0.2,-42.665017104148866,0.29921875,0.0003,0.024086535,10.756171226501465,-0.003995255031622946
100,27,3.1902463,549,55296,39.903756976127625,260,0.018216490745544434,1.0552935600280762,0.2,-42.7033712387085,0.272021484375,0.0003,0.039276145,13.996461868286133,-0.010471694491570815
100,28,1.163511,568,57344,21.280305433273316,270,0.017211735248565674,1.05736243724823,0.2,-42.730911064147946,0.281591796875,0.0003,0.026706781,12.90345573425293,-0.008222992144874297
100,29,0.12803815,588,59392,30.67984601855278,280,-0.011853337287902832,1.0577092170715332,0.2,-42.760133910179135,0.274609375,0.0003,0.02796482,18.97260284423828,-0.010148504425887949
101,30,-0.35135627,606,61440,33.150770246982574,290,0.010244429111480713,1.0605289936065674,0.2,-42.800150871276855,0.371142578125,0.0003,0.033138484,39.289695739746094,-0.01506030046439264
101,31,-1.7803713,623,63488,36.33549553155899,300,0.0063346028327941895,1.064794898033142,0.2,-42.89637339115143,0.379345703125,0.0003,0.045456283,20.10934066772461,-0.007589835056569428
102,32,0.28624222,641,65536,53.000077271461485,310,0.00537484884262085,1.0663710832595825,0.2,-42.99032590389252,0.3646484375,0.0003,0.03975326,36.853519439697266,0.001432049588765949
102,33,1.6786587,661,67584,14.357119750976562,320,-0.003842592239379883,1.0689949989318848,0.2,-43.036327195167544,0.32822265625,0.0003,0.039630674,6.6622233390808105,-0.006451884304988198
102,34,-0.9980743,678,69632,37.12910049557686,330,0.018385767936706543,1.0719505548477173,0.2,-43.1076114654541,0.2814453125,0.0003,0.030824674,16.452096939086914,-0.01625755051791202
